filename,product_name,image_urls,short_description,long_description,categories,stock_status,is_complete
movable-food-container.html,Trolly Rice Storage/Movable Food Container,"['https://rabeyaenterprise.com/wp-content/uploads/2021/10/Trolly-Rice-StorageMovable-Food-Container.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2021/10/Trolly-Rice-StorageMovable-Food-Container2.webp', 'https://rabeyaenterprise.com/wp-content/uploads/2021/10/Trolly-Rice-StorageMovable-Food-Container-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2021/10/Trolly-Rice-StorageMovable-Food-Container2-150x150.webp']","Movable Rice Container Plastic Airtight Pet Food Container with wheelBlack, Wood",,[],,False
double-layer-adjustable-reading-table.html,DOUBLE LAYER ADJUSTABLE READING TABLE,"['https://rabeyaenterprise.com/wp-content/uploads/2025/11/DOUBLE-LAYER-ADJUSTABLE-READING-TABLE-1.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-011.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-010.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-09.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/DOUBLE-LAYER-ADJUSTABLE-READING-TABLE.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/DOUBLE-LAYER-ADJUSTABLE-READING-TABLE6.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-03.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-06.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-02.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/DOUBLE-LAYER-ADJUSTABLE-READING-TABLE-1-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-011-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-010-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-09-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/DOUBLE-LAYER-ADJUSTABLE-READING-TABLE-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/DOUBLE-LAYER-ADJUSTABLE-READING-TABLE6-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-03-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-06-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/Double-layer-Table-02-150x150.jpg']","Black, Wood, Maroon,",,[],,False
electric-coffee-grinder.html,Coffee Grinder Food Processor,"['https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-8.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-1.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-7.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-6.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-5.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-8-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-1-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-7-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-6-150x148.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-5-150x146.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-4-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Electric-coffee-Grinder-3-150x150.jpg']",,,[],,False
energy-card.html,Energy Card,['https://rabeyaenterprise.com/wp-content/uploads/2023/10/Energy-Card.jpg'],,,[],,False
double-layer-mini-cooking-hot-pot.html,Double Layer Mini Cooking Hot Pot,"['https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-1.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-6.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-1-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-6-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-4-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/06/Double-Layer-Mini-Cooking-Hot-Pot-2-150x150.jpg']",,,[],,False
vascular-comfortable-ointment.html,VASCULAR COMFORTABLE OINTMENT,"['https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT-7.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT6.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT-7-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT6-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT4-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/VASCULAR-COMFORTABLE-OINTMENT2-150x150.jpg']",,,[],,False
rotating-spice-rack.html,Rotating Spice Rack,"['https://rabeyaenterprise.com/wp-content/uploads/2022/05/Rotating-Spice-Rack.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/05/Rotating-Spice-Rack3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/05/Rotating-Spice-Rack2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/05/Rotating-Spice-Rack-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/05/Rotating-Spice-Rack3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/05/Rotating-Spice-Rack2-150x150.jpg']",Rotating 5-Tier Kitchen Sugar Salt Pepper Spices Rack Seasoning Storage Box Pot For Condiment Spice Jar Kitchen Accessories,,[],,False
automatic-yogurt-maker-1l.html,Automatic Yogurt Maker 1L (Doi Maker),"['https://rabeyaenterprise.com/wp-content/uploads/2025/05/Autamatic-Yogurt-Maker-1.7L-2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/10/Yougurt-Maker-1L.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2021/08/Electric-Doi-Maker-F2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2021/08/Electric-Doi-Maker-F3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/05/Autamatic-Yogurt-Maker-1.7L-2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/10/Yougurt-Maker-1L-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2021/08/Electric-Doi-Maker-F2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2021/08/Electric-Doi-Maker-F3-150x150.jpg']","COLOUR AVAILABLE ….PINK,GREEN",,[],,False
3d-firework-led-decorative-light-bulb.html,3D Firework Led Decorative Light Bulb,"['https://rabeyaenterprise.com/wp-content/uploads/2024/02/3D-Firework-Led-Decorative-Light-Bulb.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/02/3D-Firework-Led-Decorative-Light-Bulb3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/02/3D-Firework-Led-Decorative-Light-Bulb2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/02/3D-Firework-Led-Decorative-Light-Bulb-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/02/3D-Firework-Led-Decorative-Light-Bulb3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/02/3D-Firework-Led-Decorative-Light-Bulb2-150x150.jpg']",,,[],,False
dumpling-mold-double-head-automatic.html,Dumpling Mold Double Head Automatic,"['https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold-.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold-Double-Head-Automatic-F1.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold-Double-Head-Automatic-F3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold-Double-Head-Automatic-F2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold--150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold-Double-Head-Automatic-F1-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold-Double-Head-Automatic-F3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/11/Dumpling-Mold-Double-Head-Automatic-F2-150x150.jpg']","Description:Product Name: Household Double Head Automatic Dumpling Maker MouldColor: WhiteMaterial: 304 stainless steel + ABSPackage including:1PC x Dumpling Maker(only)How to use?1. Open the unlocking device2. Place the dumpling wrappers on the dumpling mold3. Put the prepared dumpling filling on the dumpling skin4. Press down, the wrapped dumplings will fall down automatic",,[],,False
